tema,articulo,contenido
constitución política costa rica,ARTÍCULO 24.-,"Se garantiza el derecho a la intimidad, a 
la libertad y al secreto de las comunicaciones.
	
Son inviolables los documentos privados y las 
comunicaciones escritas, orales o de cualquier otro tipo 
de los habitantes de la República. Sin embargo, la ley, 
cuya aprobación y reforma requerirá los votos de dos 
tercios de los diputados de la Asamblea Legislativa, fijará 
en qué casos podrán los Tribunales de Justicia ordenar el 
secuestro, registro o examen de los documentos privados, 
cuando sea absolutamente indispensable para esclarecer 
asuntos sometidos a su conocimiento.
	
Igualmente, la ley determinará en cuales casos 
podrán los 
Tribunales de Justicia ordenar que se intervenga 
cualquier tipo de comunicación e indicará los delitos 
en cuya investigación podrá autorizarse el uso de esta 
potestad excepcional y durante cuanto tiempo. Asimismo, 
señalará las responsabilidades y sanciones en que 
incurrirán los funcionarios que  apliquen  ilegalmente  esta 
excepción.   Las  resoluciones  judiciales  amparadas a esta 
norma deberán ser razonadas y podrán ejecutarse de 
inmediato. Su aplicación y control serán responsabilidad 
indelegable de la autoridad judicial.
	
La ley fijará los casos en que los funcionarios 
competentes del Ministerio de Hacienda y de la Contraloría 
General de la República podrán revisar los libros de 
contabilidad y sus anexos para fines tributarios y para 
fiscalizar la correcta utilización de los fondos públicos.
	
Una ley especial, aprobada por dos tercios del total 
                  CONSTITUCIÓN POLÍTICA
19
de los diputados, determinará cuáles otros órganos de la 
Administración Pública podrán revisar los documentos 
que esa ley señale en relación con el cumplimiento de sus 
competencias de regulación y vigilancia para conseguir 
fines públicos. Asimismo, indicará en qué casos procede 
esa revisión.
	
No producirán efectos legales, la correspondencia 
que fuere sustraída ni la información obtenida como 
resultado 
de 
la 
intervención 
ilegal 
de 
cualquier 
comunicación.
(Así reformado por Ley No. 7607 de 29 de mayo de 
1996.)"
constitución política costa rica,ARTÍCULO 25.-,"Los habitantes de la República, tienen 
derecho de asociarse para fines lícitos. Nadie podrá ser 
obligado a formar parte de asociación alguna."
constitución política costa rica,ARTÍCULO 26.-,"Todos tienen derecho de reunirse 
pacíficamente y sin armas, ya sea para negocios privados, 
o para discutir asuntos políticos y examinar la conducta 
pública de los funcionarios.
	
Reuniones en recintos privados no necesitan 
autorización previa. Las que se celebren en sitios públicos 
serán reglamentadas por la ley."
constitución política costa rica,ARTÍCULO 27.-,"Se garantiza la libertad de petición, en 
forma individual o colectiva, ante cualquier funcionario 
público o entidad oficial, y el derecho a obtener pronta 
resolución."
constitución política costa rica,ARTÍCULO 28.-,"Nadie puede ser inquietado ni perseguido 
por la manifestación de sus opiniones ni por acto alguno 
                              CONSTITUCIÓN POLÍTICA
20
que no infrinja la ley.
	
Las acciones privadas que no dañen la moral o 
el orden públicos, o que no perjudiquen a tercero, están 
fuera de la acción de la ley.
	
No se podrá, sin embargo, hacer en forma alguna 
propaganda política por clérigos o seglares invocando 
motivos de religión o valiéndose, como medio, de 
creencias religiosas."
constitución política costa rica,"ARTÍCULO 
29.-","Todos 
pueden 
comunicar 
sus 
pensamientos de palabra o por escrito, y publicarlos sin 
previa censura; pero serán responsables de los abusos 
que cometan en el ejercicio de este derecho, en los casos 
y del modo que la ley establezca."
constitución política costa rica,ARTÍCULO 30.-,"Se garantiza el libre acceso a los 
departamentos 
administrativos 
con 
propósitos 
de 
información sobre asuntos de interés público.
	
Quedan a salvo los secretos de Estado."
constitución política costa rica,ARTÍCULO 31.-,"El territorio de Costa Rica será asilo para 
todo perseguido por razones políticas. Si por imperativo 
legal se decretare su expulsión, nunca podrá enviársele 
al país donde fuere perseguido.
	
La extradición será regulada por la ley o por los 
tratados internacionales y nunca procederá en casos de 
delitos políticos o conexos con ellos, según la calificación 
costarricense."
constitución política costa rica,ARTÍCULO 32.-,"Ningún costarricense podrá ser compelido 
a abandonar el territorio nacional.
                  CONSTITUCIÓN POLÍTICA
21"
constitución política costa rica,ARTÍCULO 33.-,"Toda persona es igual ante la ley y no 
podrá practicarse discriminación alguna contraria a la 
dignidad humana.
(Así reformado por la Ley No. 7880 del 27 de mayo de 
1999.)"
constitución política costa rica,ARTÍCULO 34.-,"A ninguna ley se le dará efecto retroactivo 
en perjuicio de persona alguna, o de sus derechos 
patrimoniales adquiridos o de situaciones jurídicas 
consolidadas."
constitución política costa rica,ARTÍCULO 35.-,"Nadie puede ser juzgado por comisión, 
tribunal o juez especialmente nombrado para el caso, 
sino exclusivamente por los tribunales establecidos de 
acuerdo con esta Constitución."
constitución política costa rica,ARTÍCULO 36.-,"En materia penal nadie está obligado 
a declarar contra sí mismo, ni contra su cónyuge, 
ascendientes, descendientes o parientes colaterales hasta 
el tercer grado inclusive de consanguinidad o afinidad."
constitución política costa rica,ARTÍCULO 37.-,"Nadie podrá ser detenido sin un indicio 
comprobado 
de 
haber 
cometido 
delito, 
y 
sin 
mandato 
escrito 
de juez o autoridad encargada del orden público, excepto 
cuando se tratare de reo prófugo o delincuente infraganti; 
pero en todo caso deberá ser puesto a disposición de juez 
competente dentro del término perentorio de veinticuatro 
horas."
constitución política costa rica,ARTÍCULO 38.-,"Ninguna persona puede ser reducida a 
prisión por deuda."
constitución política costa rica,ARTÍCULO 39.-,"A nadie se hará sufrir pena sino por delito, 
cuasidelito o falta, sancionados por ley anterior y en virtud 
                              CONSTITUCIÓN POLÍTICA
22
de sentencia firme dictada por autoridad competente, 
previa oportunidad concedida al indiciado para ejercitar 
su defensa y mediante la necesaria demostración de 
culpabilidad.
	
No constituyen violación a este artículo o a los 
dos anteriores, el apremio corporal en materia civil o de 
trabajo o las detenciones que pudieren decretarse en las 
insolvencias, quiebras o concursos de acreedores."
constitución política costa rica,ARTÍCULO 40.-,"Nadie será sometido a tratamientos 
crueles o degradantes ni a penas perpetuas, ni a la pena 
de confiscación. Toda declaración obtenida por medio de 
violencia será nula."
constitución política costa rica,ARTÍCULO 41.-,"Ocurriendo a las leyes, todos han de 
encontrar reparación para las injurias o daños que hayan 
recibido en su persona, propiedad o intereses morales. 
Debe hacérseles justicia pronta, cumplida, sin denegación 
y en estricta conformidad con las leyes."
constitución política costa rica,ARTÍCULO 42.-,"Un mismo juez no puede serlo en 
diversas instancias para la decisión de un mismo punto. 
Nadie podrá ser juzgado más de una vez por el mismo 
hecho punible.
	
Se prohíbe reabrir causas penales fenecidas y 
juicios fallados con autoridad de cosa juzgada, salvo 
cuando proceda el recurso de revisión."
constitución política costa rica,ARTÍCULO 43.-,"Toda persona tiene derecho a terminar 
sus diferencias patrimoniales por medio de árbitros, aun 
habiendo litigio pendiente."
constitución política costa rica,ARTÍCULO 44.-,"Para que la incomunicación de una 
                  CONSTITUCIÓN POLÍTICA
23
persona pueda exceder de cuarenta y ocho horas, se 
requiere orden judicial; sólo podrá extenderse hasta por 
diez días consecutivos y en ningún caso impedirá que se 
ejerza la inspección judicial."
constitución política costa rica,ARTÍCULO 45.-,"La propiedad es inviolable; a nadie puede 
privarse de la suya si no es por interés público legalmente 
comprobado, previa indemnización conforme a la ley. En 
caso de guerra o conmoción interior, no es indispensable 
que la indemnización sea previa. Sin embargo, el pago 
correspondiente se hará a más tardar dos años después 
de concluido el estado de emergencia.
	
Por motivos de necesidad pública podrá la 
Asamblea Legislativa, mediante el voto de los dos tercios 
de la totalidad de sus miembros, imponer a la propiedad 
limitaciones de interés social."
constitución política costa rica,ARTÍCULO 46.-,"Son prohibidos los monopolios de carácter 
particular, y cualquier acto, aunque fuere originado en 
una ley, que amenace o restrinja la libertad de comercio, 
agricultura e industria.
	
Es de interés público la acción del Estado 
encaminada a impedir toda práctica o tendencia 
monopolizadora.
	
Las empresas constituidas en monopolios de 
hecho deben ser sometidas a una legislación especial.
	
Para establecer nuevos monopolios en favor 
del Estado o de las municipalidades se requerirá la 
aprobación de dos tercios de la totalidad de los miembros 
de la Asamblea Legislativa.
                              CONSTITUCIÓN POLÍTICA
24
	
Los consumidores y usuarios tienen derecho a la 
protección de su salud, ambiente, seguridad e intereses 
económicos; a recibir información adecuada y veraz; a 
la libertad de elección, y a un trato equitativo. El Estado 
apoyará los organismos que ellos constituyan para la 
defensa de sus derechos. La ley regulará esas materias.
(Así reformado por Ley No. 7607 del 29 de mayo de 
1996.)"
constitución política costa rica,ARTÍCULO 47.-,"Todo autor, inventor, productor o 
comerciante gozará temporalmente de la propiedad 
exclusiva de su obra, invención, marca o nombre 
comercial, con arreglo a la ley."
constitución política costa rica,ARTÍCULO 48.-,"Toda persona tiene derecho al 
recurso de hábeas corpus para garantizar su libertad 
e integridad personales, y al recurso de amparo para 
mantener o restablecer el goce de los otros derechos 
consagrados en esta Constitución, así como de 
los de carácter fundamental  establecidos  en  los 
instrumentos  internacionales  sobre  derechos  humanos, 
aplicables en la República. Ambos recursos serán de 
competencia de la Sala indicada en el artículo 10.
(Así reformado por Ley No. 7128 del 18 de agosto de 
1989.)"
constitución política costa rica,ARTÍCULO 49.-,"Establécese la jurisdicción contencioso-
administrativa como atribución del Poder Judicial, con el 
objeto de garantizar la legalidad de la función administrativa 
del Estado, de sus instituciones y de toda otra entidad de 
derecho público.
	
La desviación de poder será motivo de impugnación 
de los actos administrativos.
                  CONSTITUCIÓN POLÍTICA
25
	
La ley protegerá, al menos, los derechos subjetivos 
y los intereses legítimos de los administrados.
(Así reformado por el Ley No. 3124 del 25 de junio de 
1963.)
TÍTULO V
DERECHOS Y GARANTÍAS SOCIALES
Capítulo Único"
constitución política costa rica,ARTÍCULO 50.-,"El Estado procurará el mayor bienestar a 
todos los habitantes del país, organizando y estimulando 
la producción y el más adecuado reparto de la riqueza.
	
Toda persona tiene derecho a un ambiente sano 
y ecológicamente equilibrado. Por ello, está legitimada 
para denunciar los actos que infrinjan ese derecho y para 
reclamar la reparación del daño causado.
	
El Estado garantizará, defenderá y preservará ese 
derecho. La ley determinará las responsabilidades y las 
sanciones correspondientes.
(Así reformado por  Ley No. 7412 del 3 de junio de 
1994.)"
constitución política costa rica,ARTÍCULO 51.-,"La familia, como elemento natural y 
fundamento de la sociedad, tiene derecho a la protección 
del Estado.
	
Igualmente tendrán derecho a esa protección la 
madre, el niño, el anciano y el enfermo desvalido."
constitución política costa rica,ARTÍCULO 52.-,"El matrimonio es la base esencial de 
la familia y descansa en la igualdad de derechos de los 
                              CONSTITUCIÓN POLÍTICA
26
cónyuges."
constitución política costa rica,ARTÍCULO 53.-,"Los padres tienen con sus hijos habidos 
fuera del matrimonio las mismas obligaciones que con los 
nacidos en él.
	
Toda persona tiene derecho a saber quiénes son 
sus padres, conforme a la ley."
constitución política costa rica,ARTÍCULO 54.-,"Se prohíbe toda calificación personal 
sobre la naturaleza de la filiación."
constitución política costa rica,ARTÍCULO 55.-,"La protección especial de la madre y 
del menor estará a cargo de una institución autónoma 
denominada Patronato Nacional de la Infancia, con la 
colaboración de las otras instituciones del Estado."
constitución política costa rica,ARTÍCULO 56.-,"El trabajo es un derecho del individuo 
y una obligación con la sociedad. El Estado debe 
procurar que todos tengan ocupación honesta y útil, 
debidamente remunerada,  e impedir  que  por  causa 
de  ella  se  establezcan  condiciones que en alguna 
forma menoscaben la libertad o la dignidad del hombre o 
degraden su trabajo a la condición de simple mercancía. 
El Estado garantiza el derecho de libre elección de trabajo."
constitución política costa rica,ARTÍCULO 57.-,"Todo trabajador tendrá derecho a un 
salario mínimo, de fijación periódica, por jornada normal, 
que le procure bienestar y existencia digna. El salario será 
siempre igual para trabajo igual en idénticas condiciones 
de eficiencia.
	
Todo lo relativo a fijación de salarios mínimos estará 
a cargo del organismo técnico que la ley determine.
                  CONSTITUCIÓN POLÍTICA
27"
constitución política costa rica,ARTÍCULO 58.-,"La jornada ordinaria de trabajo diurno 
no podrá exceder de ocho horas diarias y cuarenta y 
ocho horas a la semana. La jornada ordinaria de trabajo 
nocturno no podrá exceder de seis horas diarias y treinta 
y seis a la semana. El trabajo en horas extraordinarias 
deberá ser remunerado con un cincuenta por ciento más 
de lo sueldos o salarios estipulados. Sin embargo, estas 
disposiciones no se aplicarán en los casos de excepción 
muy calificados, que determine la ley."
constitución política costa rica,ARTÍCULO 59.-,"Todos los trabajadores tendrán derecho 
a un día de descanso después de seis días consecutivos 
de trabajo, y a vacaciones anuales pagadas, cuya 
extensión y oportunidad serán reguladas por la ley, pero 
en ningún caso comprenderán menos de dos semanas 
por cada cincuenta semanas de servicio continuo; todo 
sin perjuicio de las excepciones muy calificadas que el 
legislador establezca."
constitución política costa rica,ARTÍCULO 60.-,"Tanto los patronos como los trabajadores 
podrán sindicalizarse libremente, con el fin exclusivo de 
obtener y conservar beneficios económicos, sociales o 
profesionales.
	
Queda prohibido a los extranjeros ejercer dirección 
o autoridad en los sindicatos."
constitución política costa rica,ARTÍCULO 61.-,"Se reconoce el derecho de los patronos 
al paro y el de los trabajadores a la huelga, salvo en los 
servicios públicos, de acuerdo con la determinación que 
de éstos haga la ley y conforme a las regulaciones que la 
misma establezca, las cuales deberán desautorizar todo 
acto de coacción o de violencia.
                              CONSTITUCIÓN POLÍTICA
28"
constitución política costa rica,ARTÍCULO 62.-,"Tendrán fuerza de ley las convenciones 
colectivas de trabajo que, con arreglo a la ley, se concierten 
entre patronos o sindicatos de patronos y sindicatos de 
trabajadores legalmente organizados."
constitución política costa rica,ARTÍCULO 63.-,"Los trabajadores despedidos sin justa 
causa tendrán derecho a una indemnización cuando no 
se encuentren cubiertos por un seguro de desocupación."
constitución política costa rica,ARTÍCULO 64.-,"El Estado fomentará la creación de 
cooperativas como medio de facilitar mejores condiciones 
de vida a los trabajadores."
constitución política costa rica,ARTÍCULO 65.-,"El Estado promoverá la construcción de 
viviendas populares y creará el patrimonio familiar del 
trabajador."
constitución política costa rica,ARTÍCULO 66.-,"Todo patrono debe adoptar en sus 
empresas las medidas necesarias para la higiene y 
seguridad del trabajo."
constitución política costa rica,ARTÍCULO 67.-,"El Estado velará por la preparación 
técnica y cultural de los trabajadores."
constitución política costa rica,ARTÍCULO 68.-,"No podrá hacerse discriminación 
respecto al salario, ventajas o condiciones de trabajo 
entre costarricenses y extranjeros, o respecto de algún 
grupo de trabajadores.
	
En igualdad de condiciones deberá preferirse al 
trabajador costarricense."
constitución política costa rica,ARTÍCULO 69.-,"Los contratos de aparcería rural serán 
regulados con el fin de asegurar la explotación racional de 
la tierra y la distribución equitativa de sus productos entre 
                  CONSTITUCIÓN POLÍTICA
29
propietarios y aparceros."
constitución política costa rica,ARTÍCULO 70.-,"Se establecerá una jurisdicción de 
trabajo, dependiente del Poder Judicial."
constitución política costa rica,ARTÍCULO 71.-,"Las leyes darán protección especial a las 
mujeres y a los menores de edad en su trabajo."
constitución política costa rica,ARTÍCULO 72.-,"El Estado mantendrá, mientras no exista 
seguro de desocupación, un sistema técnico y permanente 
de protección a los desocupados involuntarios, y procurará 
la reintegración de los mismos al trabajo."
constitución política costa rica,ARTÍCULO 73.-,"Se establecen los seguros sociales en 
beneficio de los trabajadores manuales e intelectuales, 
regulados por el sistema de contribución forzosa del 
Estado, patronos y trabajadores, a fin de proteger a éstos 
contra los riesgos de enfermedad, invalidez, maternidad, 
vejez, muerte y demás contingencias que la ley determine.
	
La administración y el gobierno de los seguros 
sociales estarán a cargo de una institución autónoma, 
denominada Caja Costarricense de Seguro Social.
	
No podrán ser transferidos ni empleados en 
finalidades distintas a las que motivaron su creación, los 
fondos y las reservas de los seguros sociales.
	
Los seguros contra riesgos profesionales serán 
de exclusiva cuenta de los patronos y se regirán por 
disposiciones especiales.
(Así reformado por Ley No. 2737 del 12 de mayo de 
1961.)
                              CONSTITUCIÓN POLÍTICA
30"
constitución política costa rica,ARTÍCULO 74.-,"Los derechos y beneficios a que este 
Capítulo se refiere son irrenunciables. Su enumeración 
no excluye otros que se deriven del principio cristiano de 
justicia social y que indique la ley; serán aplicables por 
igual a todos los factores concurrentes al proceso de 
producción, y reglamentados en una legislación social y 
de trabajo, a fin de procurar una política permanente de 
solidaridad nacional.
TÍTULO   VI
LA RELIGIÓN
Capítulo Único
NOTA:  En el texto original de la Constitución Política, 
 
el artículo 75 era parte del Título V (Garantías Sociales) 
y el artículo 76 correspondía al tema de la religión. 
Luego, la Ley No. 4764 del 17 de mayo de 1971 derogó 
el antiguo artículo 75 del Título V.  Posteriormente 
el artículo 1 de Ley No. 5703 del 6 de junio de 1975 
dispuso variar la numeración al antiguo artículo 76 
(de la Religión), que pasó a ser el actual 75.  Además, 
creó un nuevo artículo 76, referente al idioma oficial 
de la nación."
constitución política costa rica,ARTÍCULO 75.-,"La Religión Católica, 
Apostólica, Romana, 
es la del Estado, el cual contribuye a su mantenimiento, 
sin impedir el libre ejercicio en la República de otros cultos 
que no se opongan a la moral universal ni a las buenas 
costumbres.
(Así variada su numeración por Ley No. 5703 del 6 de 
junio de 1975)
                  CONSTITUCIÓN POLÍTICA
31
TÍTULO VII
LA EDUCACIÓN Y LA CULTURA
Capítulo Único"
constitución política costa rica,ARTÍCULO 76.-,"El español es el idioma oficial de la Nación. 
 
No obstante, el Estado velará por el mantenimiento y 
cultivo de las lenguas indígenas nacionales.
(Así modificado por la Ley No. 7878 del 27 de mayo 
de 1999.)"
constitución política costa rica,ARTÍCULO 77.-,"La educación pública será organizada 
como un proceso integral correlacionado en sus diversos 
ciclos, desde la preescolar hasta la universitaria."
